borough,street,segs
Queens,GRAND CENTRAL PARKWAY,1231
Brooklyn,BELT PARKWAY,1132
Queens,CROSS ISLAND PARKWAY,836
Queens,UNION TURNPIKE,824
Queens,BELT PARKWAY,550
Manhattan,WEST STREET,377
Brooklyn,SHORE PARKWAY,261
Bronx,SOUTHERN BOULEVARD,240
Bronx,RANDALL AVENUE,200
Queens,BRADDOCK AVENUE,166
Staten Island,WILLOW ROAD EAST,163
Brooklyn,AVENUE U,153
Staten Island,WOODROW ROAD,149
Queens,SHORE FRONT PARKWAY,141
Bronx,MOSHOLU PARKWAY,137
Bronx,WEBSTER AVENUE,135
Brooklyn,SEAVIEW AVENUE,134
Brooklyn,AVENUE W,133
Brooklyn,AVENUE L,127
Brooklyn,AVENUE M,126
Brooklyn,AVENUE T,125
Brooklyn,AVENUE K,121
Bronx,BAYCHESTER AVENUE,120
Queens,BORDEN AVENUE,118
Bronx,ROSEDALE AVENUE,117
Manhattan,EAST DRIVE,117
Bronx,RIKERS ISLAND ACCESS ROAD,116
Bronx,EXTERIOR STREET,115
Bronx,UNIVERSITY AVENUE,115
Bronx,MORRIS AVENUE,113
Manhattan,WEST DRIVE,109
Brooklyn,AVENUE N,108
Manhattan,EAST RIVER ESPLANADE,108
Bronx,EAST GUN HILL ROAD,106
Manhattan,SOUTH STREET,105
Bronx,BRONX RIVER AVENUE,105
Brooklyn,FT HAMILTON,104
Brooklyn,AVENUE V,98
Bronx,RIVERDALE AVENUE,98
Bronx,FIELDSTON ROAD,97
Bronx,BRONX BOULEVARD,96
Bronx,CO-OP CITY BOULEVARD,95
Brooklyn,AVENUE X,95
Queens,COOPER AVENUE,95
Brooklyn,BLAKE AVENUE,93
Queens,WINCHESTER BOULEVARD,92
Brooklyn,ADAMS STREET,92
Brooklyn,SURF AVENUE,92
Brooklyn,WASHINGTON AVENUE,91
Staten Island,VETERANS ROAD WEST,91
Staten Island,SOUTH AVENUE,91
Queens,JFK ACCESS ROAD,90
Queens,OCEANSIDE AVENUE,88
Queens,BOARDWALK,85
Brooklyn,STERLING PLACE,85
Bronx,ST ANNS AVENUE,85
Queens,HEMPSTEAD AVENUE,84
Queens,MURDOCK AVENUE,84
Brooklyn,VANDALIA AVENUE,82
Queens,FOREST PARK DRIVE,82
Brooklyn,AVENUE S,81
Brooklyn,STANLEY AVENUE,81
Bronx,METCALF AVENUE,80
Bronx,WASHINGTON AVENUE,79
Queens,JACKSON AVENUE,78
Brooklyn,TROY AVENUE,77
Bronx,UNIONPORT ROAD,77
Brooklyn,FLATBUSH AVENUE EXTENSION,77
Queens,YELLOWSTONE BOULEVARD,76
Queens,ELIOT AVENUE,76
Brooklyn,PROSPECT PARK WEST,75
Bronx,BRONXWOOD AVENUE,75
Brooklyn,TILLARY STREET,75
Bronx,WALTON AVENUE,75
Bronx,BARNES AVENUE,74
Brooklyn,AVENUE P,74
Queens,BROOKVILLE BOULEVARD,74
Staten Island,TELEPORT DRIVE,74
Brooklyn,AVENUE I,73
Brooklyn,QUENTIN ROAD,73
Bronx,BURKE AVENUE,72
Bronx,ADEE AVENUE,72
Queens,AUSTIN STREET,72
Brooklyn,SCHENECTADY AVENUE,72
Queens,HOOK CREEK BOULEVARD,71
Queens,STATE ROAD,71
Brooklyn,SHELL ROAD,71
Brooklyn,AVENUE Z,70
Brooklyn,PACIFIC STREET,70
Bronx,BARTOW AVENUE,70
Staten Island,SEAVIEW AVENUE,70
Queens,QUEENS PLAZA,69
Bronx,BROOK AVENUE,69
Bronx,ALLERTON AVENUE,69
Brooklyn,WORTMAN AVENUE,68
Queens,BAYSIDE AVENUE,68
Brooklyn,AVENUE H,68
Brooklyn,BAY VIEW AVENUE,68
Brooklyn,WILLIAMS AVENUE,67
Queens,BAISLEY BOULEVARD,67
Brooklyn,STERLING DRIVE,67
Queens,FOCH BOULEVARD,67
Queens,BAYSIDE,66
Brooklyn,BROOKLYN NAVY YARD,66
Brooklyn,AVENUE R,66
Queens,LAUREL HILL BOULEVARD,66
Brooklyn,OCEAN AVENUE,64
Bronx,CASTLE HILL AVENUE,64
Brooklyn,AVENUE O,64
Bronx,WATSON AVENUE,63
Queens,HOLLIS AVENUE,63
Bronx,FOOD CENTER DRIVE,63
Bronx,EASTCHESTER ROAD,62
Queens,WILLETS POINT BOULEVARD,62
Bronx,PAULDING AVENUE,62
Brooklyn,AVENUE Y,62
Bronx,HUTCHINSON RIVER PARKWAY EAST,62
Bronx,WEST FARMS ROAD,60
Staten Island,BLOOMINGDALE ROAD,60
Brooklyn,COZINE AVENUE,60
Bronx,CLAY AVENUE,59
Brooklyn,SHORE ROAD,59
Bronx,MORRIS PARK AVENUE,58
Bronx,WARING AVENUE,58
Bronx,WEST FORDHAM ROAD,58
Manhattan,MORNINGSIDE AVENUE,57
Bronx,BRYANT AVENUE,56
Queens,MERIDIAN ROAD,56
Brooklyn,AVIATION ROAD,56
Bronx,STORY AVENUE,56
Brooklyn,ASHFORD STREET,56
Queens,SHEA ROAD,55
Bronx,ZEREGA AVENUE,55
Bronx,SOUNDVIEW AVENUE,55
Brooklyn,ST JOHNS PLACE,55
Queens,SHORE ROAD,55
Staten Island,SOUTH RAILROAD AVENUE,55
Bronx,ASTOR AVENUE,54
Queens,ROCKAWAY BREEZY BOULEVARD,54
Staten Island,NORTH RAILROAD AVENUE,54
Brooklyn,PLUMB BEACH AVENUE,53
Brooklyn,REMSEN AVENUE,53
Bronx,PARK DRIVE,53
Staten Island,WESTWOOD AVENUE,53
Queens,BURNS STREET,53
Staten Island,VETERANS ROAD EAST,53
Bronx,LACONIA AVENUE,53
Staten Island,LILY POND AVENUE,53
Queens,MIDLAND PARKWAY,52
Queens,BOOTH MEMORIAL AVENUE,52
Bronx,EAST BURNSIDE AVENUE,52
Staten Island,HUGUENOT AVENUE,52
Brooklyn,LEWIS AVENUE,52
Brooklyn,THROOP AVENUE,52
Staten Island,LOOP ROAD,51
Manhattan,DELANCEY ST NORTH,51
Staten Island,CASWELL AVENUE,51
Manhattan,EDGECOMBE AVENUE,51
Queens,MEADOW LAKE DRIVE,51
Manhattan,NAGLE AVENUE,51
Brooklyn,WILLOUGHBY AVENUE,50
Staten Island,HENDERSON AVENUE,50
Manhattan,EAST RIVER WEST CHANNEL SHL,50
Brooklyn,BERGEN AVENUE,50
Brooklyn,ROGERS AVENUE,50
Queens,QUEENS PLAZA SOUTH,50
Staten Island,FOREST HILL ROAD,50
Queens,BREEZY POINT BOULEVARD,50
Brooklyn,RIDGE BOULEVARD,49
Bronx,ARNOW AVENUE,49
Bronx,MACE AVENUE,49
Manhattan,FORT WASHINGTON PARK BICYCLE TRL,49
Bronx,UNDERHILL AVENUE,49
Bronx,HAZEN STREET,49
Bronx,CONNER STREET,49
Manhattan,JOHN FINLEY WALK,49
Bronx,PENNYFIELD AVENUE,47
Bronx,TINTON AVENUE,47
Manhattan,DELANCEY ST SOUTH,47
Bronx,HOE AVENUE,47
Queens,CUNNINGHAM PARK TRAIL,47
Brooklyn,ST MARKS AVENUE,47
Staten Island,STEUBEN STREET,46
Staten Island,WILLOWBROOK ROAD,46
Manhattan,WEST HOUSTON STREET,46
Manhattan,BRONX SHORE ROAD,46
Bronx,WESTCHESTER SQUARE,46
Manhattan,YORK AVENUE,45
Brooklyn,SCHENCK AVENUE,45
Staten Island,BARD AVENUE,45
Bronx,VALENTINE AVENUE,45
Staten Island,ANNADALE ROAD,45
Staten Island,RICHMOND HILL ROAD,45
Staten Island,ROCKLAND AVENUE,44
Brooklyn,GEORGIA AVENUE,44
Bronx,NOBLE AVENUE,44
Staten Island,JEWETT AVENUE,44
Queens,JERICHO TURNPIKE,44
Staten Island,VAN DUZER STREET,43
Queens,MARINE TERMINAL ROAD,43
Brooklyn,BATCHELDER STREET,43
Brooklyn,THOMAS S BOYLAND STREET,43
Queens,CARGO SERVICE ROAD,43
Bronx,TELLER AVENUE,43
Bronx,HENRY HUDSON PARKWAY EAST,43
Queens,POWELLS COVE BOULEVARD,43
Bronx,MANHATTAN COLLEGE PARKWAY,43
Brooklyn,STRICKLAND AVENUE,43
Queens,OCEAN PROMENADE,43
Bronx,TILLOTSON AVENUE,43
